brand,car_model,datetime,desc,id,id_,problem,status,type,type_
东风启辰,启辰T60,2020-08-29,启辰T60多次电瓶亏电无法启动希望处理,,515601,"H146,",信息审核,,2018款 1.6L CVT 智悦版(ISS) 国VI
长安马自达,马自达3 昂克赛拉,2020-08-29,长安马自达昂克赛拉发动机变速箱漏油	,,515594,"A12,B22,E43,",信息审核,,2020款 1.5L 自动 质美版
一汽-大众,探岳,2020-08-29,一汽大众探岳油泵异响希望尽快得到处理,,515592,"H78,",信息审核,,2020款 330TSI 两驱 豪华智联版
一汽-大众奥迪,奥迪A4L,2020-08-29,一汽大众奥迪A4L中控屏背面漆面起泡,,515589,"H81,",信息审核,,2018款 2.0T 时尚型 30周年年型
吉利汽车,缤瑞,2020-08-29,吉利缤瑞仪表台异响 承诺洗车服务未兑现,,515577,"H93,L314,",信息审核,,2018款 14T CVT 缤纷版
一汽-大众,高尔夫,2020-08-29,一汽大众高尔夫车内异味越来越严重,,515559,"H185,",信息审核,,2014款 1.6L  手动 时尚型
北京现代,名图,2020-08-29,北京现代名图行驶中方向跑偏四轮定位未解决,,515543,"G117,",信息审核,,2017款 1.6T 自动 智能型 GLS
众泰汽车,云100,2020-08-29,众泰云100动力电池故障要求尽快解决,,515538,"H343,",信息审核,,2014款 云100 舒适型
东风日产,逍客,2020-08-29,东风日产逍客变速箱阀体损坏不予更换,,515537,"B96,B84,",信息审核,,2016款 2.0L CVT 精英版
上汽大众,朗逸,2020-08-29,上汽大众朗逸发动机水泵处漏油要求解决,,515535,"A12,",信息审核,,2013款 1.6L 自动 舒适版 改款
广汽丰田,凯美瑞,2020-08-29,广汽丰田凯美瑞发动机漏防冻液要求解决,,515534,"A37,",信息审核,,2018款 2.5G 自动 豪华版
东风悦达起亚,起亚K2,2020-08-29,起亚K2发动机加速异响4S店无法解决,,515533,"A9,J298,J301,",信息审核,,2017款 1.4L 自动 GLS 三厢
一汽丰田,RAV4荣放,2020-08-29,一汽丰田RAV4荣放打方向卡顿有异响,,515532,"D59,D123,",信息审核,,2015款 2.0L CVT 两驱都市版
一汽-大众,C-TREK蔚领,2020-08-29,一汽大众蔚领冷车启动发动机有异响,,515525,"A9,",信息审核,,2018款 1.5L 自动 舒适型
长安跨越,跨越者D5,2020-08-29,长安跨越者D5倒车镜松动变速箱挂挡不顺畅,,515523,"B184,D156,H168,H211,",信息审核,,2019款 1.8L PLUS标准型 排半后双轮 标准货箱
东风日产,骐达TIIDA,2020-08-29,东风日产骐达电瓶亏电要求尽快解决,,515521,"H146,H170,",信息审核,,2021款 1.6L CVT 智行版
广汽乘用车,传祺GA4,2020-08-29,广汽传祺GA4变速箱漏油4S店不给解决,,515520,"B22,I295,I294,",信息审核,,2018款 150N 自动 豪华版
东风裕隆,优6 SUV,2020-08-29,纳智捷优6 SUV转向轴再次漏油要求处理,,515518,"G51,N317,",信息审核,,2016款 1.8T 时尚升级型
华晨宝马,宝马3系,2020-08-29,华晨宝马3系新车提车时前杠有剐蹭痕迹,,515517,"I295,K307,",信息审核,,2020款 330Li xDrive M运动曜夜套装
北京现代,悦动,2020-08-29,北京现代悦动发动机无法识别启动信号,,515516,"B184,",信息审核,,2018款 1.6L 自动 悦目版 GL 国V
